Hidden Dim,MSE,MAE,R-squared,Correlation Coefficient,Explained Variance
16,12.485202,2.4373672,0.708954930305481,0.8456069721695217,0.7146559953689575
32,12.720586,2.4125252,0.7034679055213928,0.843338718388921,0.7100800275802612
50,12.342557,2.4596207,0.7122802138328552,0.8498593728410979,0.7194066047668457
64,13.067038,2.6418998,0.6953916549682617,0.8458914994779455,0.7151785492897034
128,13.607775,2.5287242,0.6827864646911621,0.8273428512551738,0.684493899345398
