Price,Date,Adj Close,Close,High,Low,Open,Volume,Daily Return,Volatility,Stock Variance,Daily Variation,7-Day SMA,7-Day STD,SMA + 2STD,SMA - 2STD,High-Close,Low-Open,Cumulative Return,14-Day EMA,Close % Change,Close Change,RSI,MACD,Stochastic Oscillator,ATR,+DI,-DI,ADX
Ticker,,FSLY,FSLY,FSLY,FSLY,FSLY,FSLY,,,,,,,,,,,,,,,,,,,,,
62,2019-08-15,15.770000457763672,15.770000457763672,15.829999923706055,14.119999885559082,14.979999542236328,670000,0.061952865499043996,102.4471619779132,0.004164849602114595,0.11415220897207656,17.22285747528076,2.287689584940477,21.798236645161715,12.647478305399808,0.004005304924957671,-0.057409858675393444,0.8179460527035621,18.343138458041576,0.061952865499043996,0.9200000762939453,24.38182817672819,-1.2087042682755715,0.14435701363253733,2.0975001198904857,12.452214073658126,8.885852803226598,24.74857360735286
63,2019-08-16,16.389999389648438,16.389999389648438,17.489999771118164,15.800000190734863,16.209999084472656,1666100,0.03931508648622373,104.02994057007933,0.004294535132942158,0.10425661171086241,16.76714311327253,2.0447063698210854,20.856555852914703,12.67773037363036,0.06785937344829356,-0.025292962177309773,0.850103672506668,18.08271991558916,0.03931508648622373,0.6199989318847656,29.101790635008953,-1.2503604182409838,0.2435621616029668,2.0110716138567244,12.117993655924774,12.370449956330692,24.48459161238032
64,2019-08-19,17.420000076293945,17.420000076293945,17.792999267578125,16.530000686645508,16.6299991607666,758500,0.06284324130579488,106.45719602311149,0.0044972756290092,0.07594700208477918,16.241428783961705,0.8946960422417841,18.030820868445275,14.452036699478137,0.022429297059987665,-0.006013137652887535,0.9035269427329469,17.9943572703498,0.06284324130579488,1.0300006866455078,33.561251542452794,-1.1865825844559446,0.35483872290911267,2.0598572322300504,11.391843627025034,14.069973122796902,24.581146021359576
65,2019-08-20,19.739999771118164,19.739999771118164,20.010000228881836,17.520000457763672,17.520000457763672,1473900,0.13318023448124983,117.1450731330044,0.0054456222854511694,0.1421232708937953,16.59142862047468,1.5856587635313037,19.76274614753729,13.420111093412073,0.015410984629513867,0.0,1.0238588728262474,18.227109603785582,0.13318023448124983,2.3199996948242188,44.66811457748853,-0.9380206867813321,0.7251611863214817,2.1084286825997487,16.449494261401064,13.468226377175968,23.814834712925492
66,2019-08-21,21.0,21.0,21.940000534057617,20.1200008392334,20.239999771118164,1920700,0.06382979956896229,119.25633048650468,0.005643679508375563,0.08992093455560708,17.30285712650844,2.260233767962592,21.823324662433624,12.782389590583254,0.04644271465847386,-0.0059288010494940955,1.0892115794656505,18.59682832328084,0.06382979956896229,1.260000228881836,54.207210564200736,-0.6320759260510336,0.8797953380939808,2.0712857927594865,15.826077242520572,18.817075372623236,23.10086966780956
67,2019-08-22,24.530000686645508,24.530000686645508,24.81999969482422,19.549999237060547,21.40999984741211,4902900,0.1680952707926433,132.58388390223192,0.006975589789920837,0.24614668357415578,18.52857153756278,3.428719161017669,25.38600985959812,11.67113321552744,0.01354502616746931,-0.086875321046599,1.2723028948664117,19.38791797172946,0.1680952707926433,3.530000686645508,63.69426799211044,-0.10357697411054545,0.9728972884721362,2.3377143314906528,19.581284796888202,17.000739461410195,22.130006327417114
68,2019-08-23,25.0,25.0,27.979999542236328,24.0,25.209999084472656,5428600,0.01916018345691972,132.02211574307717,0.00691660279574542,0.15787384715486522,19.978571483067103,3.7453680773955833,27.46930763785827,12.487835328275937,0.11820704682499451,-0.04799679208310321,1.2966804517448223,20.136195575498867,0.01916018345691972,0.4699993133544922,62.98701459550395,0.34916234342222197,0.7849928126945752,2.4487857818603516,16.96322130184413,25.268752392630823,21.487644784575934
69,2019-08-26,27.559999465942383,27.559999465942383,27.780000686645508,25.329999923706055,26.860000610351562,3481800,0.10239997863769523,134.14964200381695,0.007141320019742955,0.09121372700175027,21.662857055664062,4.164831872659774,29.992520800983613,13.333193310344514,0.008190663280116936,-0.05696204958595055,1.429460502303409,21.12603609422467,0.10239997863769523,2.559999465942383,65.75785556187813,0.904110058505438,0.9696969634417267,2.5716428756713867,13.440010701080949,27.58173248427157,21.05838253663093
70,2019-08-27,29.40999984741211,29.40999984741211,29.969999313354492,27.770000457763672,28.040000915527344,3388200,0.06712628509865848,133.63592702828615,0.007086730552662469,0.07845930041937181,23.522857121058873,4.321900410157733,32.16665794137434,14.879056300743407,0.019971449631168852,-0.009629117294862757,1.5254148755182992,22.230564594649664,0.06712628509865848,1.8500003814697266,72.01074777718716,1.4761732838473591,0.9646688021350753,2.616642951965332,12.107487539077518,32.876938140382144,21.313083552097154
